onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
82,京町温泉,宮崎・えびの,https://www.photo-ac.com/main/search?q=%E4%BA%AC%E7%94%BA%E6%B8%A9%E6%B3%89,未,写真AC/京町温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
83,シギラ黄金温泉,沖縄・宮古島,https://www.photo-ac.com/main/search?q=%E3%82%B7%E3%82%AE%E3%83%A9%E9%BB%84%E9%87%91%E6%B8%A9%E6%B3%89,未,写真AC/シギラ黄金温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
84,四万温泉,群馬・中之条,https://www.photo-ac.com/main/search?q=%E5%9B%9B%E4%B8%87%E6%B8%A9%E6%B3%89,未,写真AC/四万温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
85,伊香保温泉,群馬・渋川,https://www.photo-ac.com/main/search?q=%E4%BC%8A%E9%A6%99%E4%BF%9D%E6%B8%A9%E6%B3%89,未,写真AC/伊香保温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
86,修善寺温泉,静岡・伊豆,https://www.photo-ac.com/main/search?q=%E4%BF%AE%E5%96%84%E5%AF%BA%E6%B8%A9%E6%B3%89,未,写真AC/修善寺温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
87,由布院温泉,大分・由布,https://www.photo-ac.com/main/search?q=%E7%94%B1%E5%B8%83%E9%99%A2%E6%B8%A9%E6%B3%89,未,写真AC/由布院温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
88,山中温泉,石川・加賀,https://www.photo-ac.com/main/search?q=%E5%B1%B1%E4%B8%AD%E6%B8%A9%E6%B3%89,未,写真AC/山中温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
89,秋保温泉,宮城・仙台,https://www.photo-ac.com/main/search?q=%E7%A7%8B%E4%BF%9D%E6%B8%A9%E6%B3%89,未,写真AC/秋保温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
90,竹瓦温泉,大分・別府,https://www.photo-ac.com/main/search?q=%E7%AB%B9%E7%93%A6%E6%B8%A9%E6%B3%89,未,写真AC/竹瓦温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
91,奥日光湯元温泉,栃木・日光,https://www.photo-ac.com/main/search?q=%E5%A5%A5%E6%97%A5%E5%85%89%E6%B9%AF%E5%85%83%E6%B8%A9%E6%B3%89,未,写真AC/奥日光湯元温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
92,山代温泉,石川・加賀,https://www.photo-ac.com/main/search?q=%E5%B1%B1%E4%BB%A3%E6%B8%A9%E6%B3%89,未,写真AC/山代温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
93,皆生温泉,鳥取・米子,https://www.photo-ac.com/main/search?q=%E7%9A%86%E7%94%9F%E6%B8%A9%E6%B3%89,未,写真AC/皆生温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
94,鬼怒川温泉,栃木・日光,https://www.photo-ac.com/main/search?q=%E9%AC%BC%E6%80%92%E5%B7%9D%E6%B8%A9%E6%B3%89,未,写真AC/鬼怒川温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
95,阿寒湖温泉,北海道・釧路,https://www.photo-ac.com/main/search?q=%E9%98%BF%E5%AF%92%E6%B9%96%E6%B8%A9%E6%B3%89,未,写真AC/阿寒湖温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
96,大沢温泉 花巻,岩手・花巻,https://www.photo-ac.com/main/search?q=%E5%A4%A7%E6%B2%A2%E6%B8%A9%E6%B3%89%20%E8%8A%B1%E5%B7%BB,未,写真AC/大沢温泉 花巻.jpg,hero,写真AC,AC Works License(クレジット不要),
